date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,SMA5,SMA10,SMA20,K,D,RSI_7,RSI_14,BB_Upper,BB_Middle,BB_Lower,MACD,MACD_Signal,MACD_Hist
2020-01-02,1514,1339859,24093024,18.05,18.05,17.9,18.0,0.1,499,,,,,,,,,,,,,
2020-01-03,1514,1463458,26216090,18.0,18.1,17.7,18.0,0.0,519,,,,,,,,,,,,,
2020-01-06,1514,1976535,35542030,18.0,18.1,17.85,18.1,0.1,639,,,,,,,,,,,,,
2020-01-07,1514,2738339,49676126,18.2,18.4,17.9,18.2,0.1,1075,,,,,,,,,,,,,
2020-01-08,1514,2685482,47788995,18.0,18.05,17.65,17.85,-0.35,788,18.03,,,,,,,,,,,,
2020-01-09,1514,751021,13402469,17.85,18.0,17.8,17.85,0.0,235,18.0,,,,,,,,,,,,
2020-01-10,1514,2078591,37452238,18.0,18.1,17.9,18.0,0.15,678,18.0,,,,,,,,,,,,
2020-01-13,1514,8893168,166735408,18.5,19.0,18.45,19.0,1.0,3207,18.18,,,,,79.41176470588243,,,,,,,
2020-01-14,1514,6232620,121488376,19.05,19.8,19.05,19.45,0.45,2666,18.43,,,,,84.26966292134837,,,,,,,
2020-01-15,1514,4084427,80275190,19.5,19.9,19.3,19.9,0.45,1676,18.840000000000003,18.435,,,,87.6651982378855,,,,,,,
2020-01-16,1514,4399643,87681135,19.8,20.25,19.55,19.65,-0.25,1966,19.200000000000006,18.6,,,,76.90546053102415,,,,,,,
2020-01-17,1514,3305808,65907660,19.7,20.15,19.6,20.1,0.45,1372,19.620000000000005,18.81,,,,81.63816893794993,,,,,,,
2020-01-20,1514,6203204,130712816,20.4,21.45,20.4,21.15,1.05,2934,20.050000000000004,19.115000000000002,,87.75303643724698,88.33966251346912,88.21341498677498,,,,,,,
2020-01-30,1514,6698888,137226859,19.85,21.1,19.7,20.9,-0.25,2801,20.340000000000003,19.385,,90.42251307932635,89.52005496706289,80.23264773603401,,,,,,,
2020-01-31,1514,4412885,93370438,21.6,21.6,20.7,20.9,0.0,1890,20.540000000000003,19.690000000000005,,86.03928369609694,88.07161107089007,80.232647736034,81.52173913043481,,,,,,
2020-02-03,1514,3792395,76656320,20.25,20.65,19.75,20.1,-0.8,1600,20.630000000000003,19.915000000000003,,72.7978467704495,83.08654784862425,57.55355329832571,68.66197183098596,,,,,,
