date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,SMA5,SMA10,SMA20,K,D,RSI_7,RSI_14,BB_Upper,BB_Middle,BB_Lower,MACD,MACD_Signal,MACD_Hist
2020-01-02,1503,58542,2660954,45.2,45.7,45.2,45.7,0.45,53,,,,,,,,,,,,,
2020-01-03,1503,45606,2071238,45.6,45.65,45.2,45.35,-0.35,49,,,,,,,,,,,,,
2020-01-06,1503,73944,3358305,45.35,45.7,45.25,45.7,0.35,59,,,,,,,,,,,,,
2020-01-07,1503,64005,2912272,45.65,45.7,45.35,45.4,-0.3,66,,,,,,,,,,,,,
2020-01-08,1503,187146,8586396,45.35,46.25,45.35,45.4,0.0,117,45.510000000000005,,,,,,,,,,,,
2020-01-09,1503,19342,881925,45.5,45.7,45.45,45.5,0.1,20,45.470000000000006,,,,,,,,,,,,
2020-01-10,1503,124588,5705030,45.6,45.95,45.6,45.7,0.2,107,45.540000000000006,,,,,,,,,,,,
2020-01-13,1503,85931,3948326,45.7,46.05,45.7,46.0,0.3,74,45.60000000000001,,,,,59.374999999999865,,,,,,,
2020-01-14,1503,140142,6460465,45.95,46.2,45.95,46.15,0.15,98,45.750000000000014,,,,,63.38028169014066,,,,,,,
2020-01-15,1503,202511,9358700,46.25,46.35,46.05,46.1,-0.05,152,45.89000000000001,45.7,,,,61.039939713639754,,,,,,,
2020-01-16,1503,160272,7410601,46.2,46.4,46.0,46.35,0.25,111,46.06000000000001,45.765,,,,67.94461093314041,,,,,,,
2020-01-17,1503,143683,6671000,46.45,46.5,46.3,46.45,0.1,93,46.21,45.875,,,,70.39322982947314,,,,,,,
2020-01-20,1503,560639,26475983,46.7,47.5,46.7,47.15,0.7,299,46.440000000000005,46.019999999999996,,91.67509268621518,89.8866366004891,81.7673009165983,,,,,,,
2020-01-30,1503,250230,11439489,45.45,46.3,45.45,45.5,-1.65,162,46.31,46.03,,60.60404284528186,80.71140266508844,39.76097841176003,,,,,,,
2020-01-31,1503,144701,6551363,45.5,45.65,45.0,45.1,-0.4,95,46.11,46.00000000000001,,30.053318207600636,60.77748457969923,34.716728146187826,43.87755102040815,,,,,,
2020-02-03,1503,99207,4382149,44.8,44.8,43.85,44.55,-0.55,81,45.75,45.90500000000001,,8.539035527341515,33.065465526741335,28.846194537810526,39.14565826330527,,,,,,
2020-02-04,1503,67256,3021344,44.55,45.3,44.55,45.0,0.45,52,45.46,45.83500000000001,,18.228310502283083,18.94022141240841,38.73507858818863,44.42640692640691,,,,,,
2020-02-05,1503,121329,5397055,45.3,45.3,44.2,44.3,-0.7,109,44.89,45.665000000000006,,21.004566210045585,15.923970746556726,30.933097704938927,38.78782873001187,,,,,,
2020-02-06,1503,103593,4637950,44.65,44.95,44.6,44.85,0.55,79,44.76,45.53500000000001,,23.744292237442888,20.99238964992385,41.697691174144786,44.72409795163006,,,,,,
2020-02-07,1503,179453,7988637,45.0,45.0,44.4,44.45,-0.4,118,44.629999999999995,45.37000000000001,45.535000000000004,18.7214611872146,21.156773211567693,36.82752005171936,41.566875584505105,46.934678534520124,45.535000000000004,44.13532146547988,,,
2020-02-10,1503,96124,4279553,44.2,44.85,44.05,44.55,0.1,65,44.629999999999995,45.19000000000001,45.4775,21.004566210045652,21.156773211567714,38.90864784232404,42.6567355160479,46.93848425727279,45.4775,44.01651574272721,,,
2020-02-11,1503,49209,2201754,44.9,44.9,44.65,44.85,0.3,56,44.599999999999994,45.030000000000015,45.4525,25.477588295592216,21.734538564284154,45.22441214063254,45.91576441454435,46.938257382615824,45.4525,43.96674261738418,,,
2020-02-12,1503,140454,6312203,44.8,45.1,44.75,44.95,0.1,98,44.73,44.81000000000002,45.415,40.36850661116811,28.95022037226866,47.34150615527564,46.997120408651455,46.91169636199227,45.415,43.91830363800773,,,
2020-02-13,1503,87414,3929673,45.0,45.1,44.75,44.75,-0.2,74,44.709999999999994,44.735000000000014,45.3825,54.66546771965503,40.17052087547179,43.42524074122508,45.056801851797104,46.90705731279636,45.3825,43.85794268720364,,,
2020-02-14,1503,54069,2427360,44.75,45.05,44.75,45.05,0.3,48,44.83,44.73000000000001,45.364999999999995,67.72669220945092,54.253555513424686,50.579651902114996,48.492004633619615,46.89637193392143,45.364999999999995,43.83362806607856,,,
2020-02-17,1503,121761,5483710,44.9,45.1,44.9,45.1,0.05,163,44.93999999999999,44.78500000000001,45.345,75.35632183908061,65.91616058939552,51.76570106285967,49.063614869309355,46.87924248409496,45.345,43.81075751590504,,,
2020-02-18,1503,116622,5255829,45.15,45.15,45.0,45.15,0.05,106,44.99999999999999,44.80000000000001,45.317499999999995,88.00000000000011,77.02767134951056,53.079433511571004,49.66517438464032,46.84500613746809,45.317499999999995,43.7899938625319,,,
2020-02-19,1503,151567,6877704,45.15,45.5,45.15,45.35,0.2,117,45.07999999999999,44.905000000000015,45.285,91.21839080459786,84.85823754789287,58.370669848908186,52.10193637334521,46.780359488551795,45.285,43.7896405114482,,,
2020-02-20,1503,121007,5500512,45.35,45.65,45.35,45.4,0.05,110,45.209999999999994,44.96000000000001,45.247499999999995,91.34339080459775,90.18726053639858,59.69630962086898,52.71819537947743,46.69092474691345,45.247499999999995,43.80407525308654,,,
2020-02-21,1503,147640,6673044,45.45,45.45,45.0,45.0,-0.4,121,45.19999999999999,45.01500000000001,45.192499999999995,69.67672413793113,84.07950191570892,46.01901510261815,47.4576996055564,46.58471945109319,45.192499999999995,43.8002805489068,,,
2020-02-24,1503,57200,2556068,44.85,44.9,44.6,44.6,-0.4,46,45.09999999999999,45.02000000000001,45.105,39.79166666666672,66.93726053639854,36.31263545387226,42.85270557923911,46.41263144654851,45.105,43.797368553451484,,,
2020-02-25,1503,29574,1318398,44.7,44.7,44.5,44.6,0.0,27,44.98999999999999,44.99500000000001,45.012499999999996,14.565217391304444,41.344536065300765,36.31263545387226,42.8527055792391,46.18077864826972,45.012499999999996,43.84422135173027,,,
2020-02-26,1503,40245,1791836,44.4,44.75,44.3,44.45,-0.15,38,44.80999999999999,44.94500000000001,44.8775,6.60225442834157,20.319712828770914,32.78326676123894,41.11750464534327,45.54193585093096,44.8775,44.213064149069034,,,
2020-02-27,1503,108739,4809888,44.4,44.4,44.05,44.1,-0.35,88,44.54999999999999,44.88000000000001,44.8075,7.643921095008324,9.603797638218113,25.924160441376443,37.32018796667155,45.4896106948306,44.8075,44.12538930516939,-0.38895454618558034,-0.41180589170494386,0.02285134551936352
2020-03-02,1503,171679,7484882,44.0,44.0,43.2,43.7,-0.4,74,44.289999999999985,44.74500000000001,44.7375,11.548091458805985,8.598088994051961,20.269596217846946,33.511144272810746,45.55839889755153,44.7375,43.91660110244847,-0.44051150820999396,-0.41754701500595387,-0.022964493204040093
2020-03-03,1503,49344,2164045,43.75,44.0,43.75,43.85,0.15,42,44.139999999999986,44.62000000000001,44.7025,16.687925170068127,11.959979241294144,27.215246512256435,36.143200898490186,45.60774858464465,44.7025,43.79725141535535,-0.4639192532922536,-0.4268214626632138,-0.037097790629039784
2020-03-04,1503,39413,1723513,43.85,43.85,43.65,43.7,-0.15,34,43.959999999999994,44.47500000000001,44.6375,22.448979591836757,16.894998740236957,24.704453084451615,34.66536298174804,45.630412382842124,44.6375,43.64458761715788,-0.4889376375784451,-0.43924469764626006,-0.04969293993218504
2020-03-05,1503,84010,3705040,43.8,44.45,43.8,44.05,0.35,50,43.879999999999995,44.34500000000001,44.62500000000001,28.23885109599388,22.458585285966254,39.818625945176244,40.752736593196175,45.64062788461087,44.62500000000001,43.60937211538914,-0.47504676899835374,-0.4464051119166788,-0.02864165708167493
2020-03-06,1503,117799,5133023,44.05,44.05,43.4,43.4,-0.65,102,43.739999999999995,44.14500000000001,44.5525,23.3168823084788,24.66823766543648,27.749760722965355,34.351521159464916,45.69288370735508,44.5525,43.412116292644924,-0.5106018233131167,-0.4592444541959664,-0.051357369117150276
2020-03-09,1503,288102,12226482,43.2,43.2,42.1,42.1,-1.3,196,43.42,43.85500000000001,44.435,16.514161220043416,22.689964874838697,16.254317946224674,25.66775334897385,45.999001278772184,44.435,42.87099872122782,-0.6363432268553026,-0.4946642087278336,-0.14167901812746903
2020-03-10,1503,273027,11461711,41.5,42.55,41.2,42.4,0.3,141,43.13,43.635000000000005,44.3275,15.189174261253692,18.34007259659197,24.657280797495428,30.06155823103636,46.12346074567428,44.3275,42.53153925432572,-0.7036751729142239,-0.5364664015651117,-0.16720877134911216
2020-03-11,1503,114400,4834829,42.35,42.65,41.95,42.05,-0.35,96,42.8,43.38000000000001,44.1875,19.985554351751446,17.229629944349515,21.694417629639133,27.9833249453855,46.2197093888188,44.1875,42.1552906111812,-0.7763292597362934,-0.584438973199348,-0.1918902865369454
2020-03-12,1503,230420,9401393,41.6,41.9,40.25,40.5,-1.55,193,42.089999999999996,42.98500000000001,43.964999999999996,21.96968133587843,19.048136649627853,13.384709056684398,21.04469433900929,46.521384165184216,43.964999999999996,41.40861583481578,-0.948051643887645,-0.6571615073370074,-0.29089013655063756
2020-03-13,1503,420744,16450385,39.9,39.9,38.6,39.5,-1.0,204,41.309999999999995,42.525000000000006,43.7025,15.830280830280762,19.261838839303547,10.389390814297311,17.951980091616594,46.88424087568459,43.7025,40.52075912431541,-1.1515600457852813,-0.7560412150266622,-0.39551883075861904
2020-03-16,1503,318059,12732760,40.0,40.2,40.0,40.05,0.55,132,40.9,42.16000000000001,43.4525,15.374440374440335,17.724800846866508,21.641402384410796,24.52197556070435,46.94226718421193,43.4525,39.96273281578807,-1.2540061151263302,-0.8556341950465958,-0.39837192007973443
2020-03-17,1503,270493,10749630,39.0,40.0,39.0,39.85,-0.2,159,40.39,41.760000000000005,43.19,20.512820512820472,17.239180572513856,20.54686546915095,23.776394357627787,46.92571947554992,43.19,39.45428052445008,-1.3359338775430913,-0.9516941315458949,-0.38423974599719646
2020-03-18,1503,259456,10319123,39.85,40.5,39.15,40.0,0.15,180,39.98,41.39000000000001,42.9325,23.947306516113823,19.944855801124874,23.91398033123186,25.603394422609842,46.79996363913126,42.9325,39.06503636086873,-1.3729321657323723,-1.0359417383831904,-0.33699042734918194
2020-03-19,1503,338128,13143694,39.5,39.5,38.5,39.05,-0.95,220,39.69,40.89000000000001,42.61749999999999,19.58590747386372,21.348678167599335,18.211420461018676,22.00586362116837,46.66796602257132,42.61749999999999,38.567033977428665,-1.4620569537355692,-1.121164781453666,-0.34089217228190316
2020-03-20,1503,186683,7400088,39.1,39.85,39.1,39.6,0.55,124,39.709999999999994,40.51000000000001,42.3275,21.29874171681846,21.61065190226533,29.55733791612884,28.28820238355837,46.37008271405809,42.3275,38.28491728594191,-1.4713478052624538,-1.1912013862154236,-0.2801464190470302
2020-03-23,1503,480470,18489701,39.2,39.2,38.1,38.95,-0.65,181,39.489999999999995,40.19500000000001,42.025,18.963156812426234,19.9492686677028,24.81164190893707,25.65784408936494,46.12737735953222,42.025,37.92262264046778,-1.5137113179372221,-1.2557033725597833,-0.2580079453774389
2020-03-24,1503,348706,13584084,39.1,39.6,38.65,38.9,-0.05,201,39.3,39.84500000000001,41.739999999999995,22.079991452217204,20.78062999382063,24.45920580846431,25.46171655448824,45.87903370365636,41.739999999999995,37.60096629634363,-1.5336404367799972,-1.311290785403826,-0.22234965137617113
2020-03-25,1503,92006,3640290,39.15,39.75,39.15,39.7,0.8,77,39.239999999999995,39.61000000000001,41.495,35.46687230897759,25.503340191207013,40.291037953433204,34.13666304007846,45.50597245066585,41.495,37.484027549334144,-1.4679593710667262,-1.342624502536406,-0.12533486853032016
2020-03-26,1503,85669,3402210,40.0,40.0,39.55,39.6,-0.1,153,39.349999999999994,39.52000000000001,41.2525,50.073099415204695,35.87332105879983,39.09611464563058,33.61009815450314,45.10275648496309,41.2525,37.40224351503691,-1.4077481729031476,-1.3556492366097543,-0.05209893629339324
2020-03-27,1503,112720,4489427,40.2,40.2,39.55,39.6,0.0,402,39.349999999999994,39.530000000000015,41.027499999999996,63.888888888888935,49.80962020435708,39.09611464563057,33.61009815450314,44.70805362683401,41.027499999999996,37.346946373165984,-1.3445314430268027,-1.353425677893164,0.008894234866361206
2020-03-30,1503,88510,3486410,39.25,39.7,38.9,39.65,0.05,396,39.489999999999995,39.49000000000001,40.824999999999996,63.194444444444436,59.052144249512686,40.30104484870737,34.198677237857495,44.33690831315406,40.824999999999996,37.31309168684593,-1.2756917664225256,-1.3378788955990362,0.06218712917651059
2020-03-31,1503,81295,3239650,39.95,40.0,39.7,39.7,0.05,237,39.64999999999999,39.47500000000001,40.61749999999999,67.75793650793649,64.94708994708996,41.64789781623179,34.8209708861005,43.87084827523921,40.61749999999999,37.364151724760774,-1.2032311449642137,-1.3109493454720718,0.10771820050785808
2020-04-01,1503,31235,1234422,39.7,39.7,39.5,39.6,-0.1,169,39.62999999999999,39.43500000000001,40.412499999999994,70.73412698412695,67.22883597883596,39.565120972533904,34.12585225438442,43.365951370854475,40.412499999999994,37.459048629145514,-1.1407251749331877,-1.276904511364295,0.13617933643110725
2020-04-06,1503,57178,2263671,39.5,39.95,39.15,39.9,0.3,262,39.68999999999999,39.52,40.205,77.7777777777777,72.08994708994705,48.567465429626566,38.11697881400155,42.645676135828154,40.205,37.76432386417184,-1.0548219200663311,-1.2324879931047021,0.177666073038371
2020-04-07,1503,120625,4814046,39.9,40.15,39.5,40.05,0.15,167,39.779999999999994,39.565000000000005,40.037499999999994,82.48847926267261,77.00012800819242,52.67930252635021,40.072058825361694,41.98887771843416,40.037499999999994,38.08612228156583,-0.9635322255687484,-1.1786968395975115,0.21516461402876308
2020-04-08,1503,124469,5031457,40.0,40.85,40.0,40.75,0.7,199,39.99999999999999,39.745000000000005,39.96999999999999,90.30288707708043,83.52304803917691,67.02994203490802,48.28340587287942,41.713674281510905,39.96999999999999,38.22632571848908,-0.8251880805855265,-1.1079950877951146,0.28280700720958807
2020-04-09,1503,92334,3749976,40.5,40.9,40.4,40.55,-0.2,226,40.169999999999995,39.91000000000001,39.87749999999999,89.2314585056519,87.34094161513498,60.87610848246074,46.33012299940235,41.253172562786055,39.87749999999999,38.501827437213926,-0.7233493563897255,-1.0310659415140369,0.3077165851243113
2020-04-10,1503,152359,6162374,40.4,40.8,40.25,40.65,0.1,309,40.379999999999995,40.00500000000001,39.80749999999999,88.29059829059825,89.2749812911102,62.86485233716641,47.47430146401751,40.831353016796264,39.80749999999999,38.78364698320372,-0.6273406766763188,-0.9503208885464932,0.32298021187017445
2020-04-13,1503,160752,6523615,40.5,40.8,40.45,40.75,0.1,618,40.55,40.120000000000005,39.81999999999999,87.5,88.34068559875006,64.94382203469347,48.653159685596634,40.882732327541426,39.81999999999999,38.75726767245856,-0.53699381163959,-0.8676554731651126,0.33066166152552257
2020-04-14,1503,148609,6117893,40.75,41.5,40.75,41.45,0.7,410,40.83,40.305,39.9175,92.62411347517737,89.47157058859187,75.94281008766947,56.083375313180994,41.183310017340744,39.9175,38.65168998265925,-0.40424918733287285,-0.7749742159986647,0.3707250286657918
2020-04-15,1503,223504,9405718,41.6,42.45,41.6,42.4,0.95,392,41.16,40.58,40.035,96.2857296367935,92.13661437065696,83.92732680572449,63.750025495056676,41.70116325730732,40.035,38.36883674269267,-0.21985668467281982,-0.6639507097334957,0.44409402506067586
2020-04-16,1503,194599,8219990,41.9,42.8,41.8,42.8,0.4,450,41.61,40.89,40.18249999999999,98.78572963679348,95.8985242495881,86.18043160753665,66.40903700565705,42.23463912783789,40.18249999999999,38.13036087216209,-0.04097530299132046,-0.5393556283850607,0.4983803253937402
2020-04-17,1503,275258,11750428,42.65,43.0,42.35,42.6,-0.2,240,42.0,41.190000000000005,40.31249999999999,95.68542568542567,96.91896165300422,79.66590909533703,63.88572459046442,42.61594850170407,40.31249999999999,38.00905149829592,0.08368646673625335,-0.4147472093607979,0.49843367609705125
