date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2020-01-02,1503,58542,2660954,45.2,45.7,45.2,45.7,0.45,53
2020-01-03,1503,45606,2071238,45.6,45.65,45.2,45.35,-0.35,49
2020-01-06,1503,73944,3358305,45.35,45.7,45.25,45.7,0.35,59
2020-01-07,1503,64005,2912272,45.65,45.7,45.35,45.4,-0.3,66
2020-01-08,1503,187146,8586396,45.35,46.25,45.35,45.4,0.0,117
2020-01-09,1503,19342,881925,45.5,45.7,45.45,45.5,0.1,20
2020-01-10,1503,124588,5705030,45.6,45.95,45.6,45.7,0.2,107
2020-01-13,1503,85931,3948326,45.7,46.05,45.7,46.0,0.3,74
2020-01-14,1503,140142,6460465,45.95,46.2,45.95,46.15,0.15,98
2020-01-15,1503,202511,9358700,46.25,46.35,46.05,46.1,-0.05,152
2020-01-16,1503,160272,7410601,46.2,46.4,46.0,46.35,0.25,111
2020-01-17,1503,143683,6671000,46.45,46.5,46.3,46.45,0.1,93
2020-01-20,1503,560639,26475983,46.7,47.5,46.7,47.15,0.7,299
2020-01-30,1503,250230,11439489,45.45,46.3,45.45,45.5,-1.65,162
2020-01-31,1503,144701,6551363,45.5,45.65,45.0,45.1,-0.4,95
2020-02-03,1503,99207,4382149,44.8,44.8,43.85,44.55,-0.55,81
2020-02-04,1503,67256,3021344,44.55,45.3,44.55,45.0,0.45,52
2020-02-05,1503,121329,5397055,45.3,45.3,44.2,44.3,-0.7,109
2020-02-06,1503,103593,4637950,44.65,44.95,44.6,44.85,0.55,79
2020-02-07,1503,179453,7988637,45.0,45.0,44.4,44.45,-0.4,118
2020-02-10,1503,96124,4279553,44.2,44.85,44.05,44.55,0.1,65
2020-02-11,1503,49209,2201754,44.9,44.9,44.65,44.85,0.3,56
2020-02-12,1503,140454,6312203,44.8,45.1,44.75,44.95,0.1,98
2020-02-13,1503,87414,3929673,45.0,45.1,44.75,44.75,-0.2,74
2020-02-14,1503,54069,2427360,44.75,45.05,44.75,45.05,0.3,48
2020-02-17,1503,121761,5483710,44.9,45.1,44.9,45.1,0.05,163
2020-02-18,1503,116622,5255829,45.15,45.15,45.0,45.15,0.05,106
2020-02-19,1503,151567,6877704,45.15,45.5,45.15,45.35,0.2,117
2020-02-20,1503,121007,5500512,45.35,45.65,45.35,45.4,0.05,110
2020-02-21,1503,147640,6673044,45.45,45.45,45.0,45.0,-0.4,121
2020-02-24,1503,57200,2556068,44.85,44.9,44.6,44.6,-0.4,46
2020-02-25,1503,29574,1318398,44.7,44.7,44.5,44.6,0.0,27
2020-02-26,1503,40245,1791836,44.4,44.75,44.3,44.45,-0.15,38
2020-02-27,1503,108739,4809888,44.4,44.4,44.05,44.1,-0.35,88
2020-03-02,1503,171679,7484882,44.0,44.0,43.2,43.7,-0.4,74
2020-03-03,1503,49344,2164045,43.75,44.0,43.75,43.85,0.15,42
2020-03-04,1503,39413,1723513,43.85,43.85,43.65,43.7,-0.15,34
2020-03-05,1503,84010,3705040,43.8,44.45,43.8,44.05,0.35,50
2020-03-06,1503,117799,5133023,44.05,44.05,43.4,43.4,-0.65,102
2020-03-09,1503,288102,12226482,43.2,43.2,42.1,42.1,-1.3,196
2020-03-10,1503,273027,11461711,41.5,42.55,41.2,42.4,0.3,141
2020-03-11,1503,114400,4834829,42.35,42.65,41.95,42.05,-0.35,96
2020-03-12,1503,230420,9401393,41.6,41.9,40.25,40.5,-1.55,193
2020-03-13,1503,420744,16450385,39.9,39.9,38.6,39.5,-1.0,204
2020-03-16,1503,318059,12732760,40.0,40.2,40.0,40.05,0.55,132
2020-03-17,1503,270493,10749630,39.0,40.0,39.0,39.85,-0.2,159
2020-03-18,1503,259456,10319123,39.85,40.5,39.15,40.0,0.15,180
2020-03-19,1503,338128,13143694,39.5,39.5,38.5,39.05,-0.95,220
2020-03-20,1503,186683,7400088,39.1,39.85,39.1,39.6,0.55,124
2020-03-23,1503,480470,18489701,39.2,39.2,38.1,38.95,-0.65,181
2020-03-24,1503,348706,13584084,39.1,39.6,38.65,38.9,-0.05,201
2020-03-25,1503,92006,3640290,39.15,39.75,39.15,39.7,0.8,77
2020-03-26,1503,85669,3402210,40.0,40.0,39.55,39.6,-0.1,153
2020-03-27,1503,112720,4489427,40.2,40.2,39.55,39.6,0.0,402
2020-03-30,1503,88510,3486410,39.25,39.7,38.9,39.65,0.05,396
2020-03-31,1503,81295,3239650,39.95,40.0,39.7,39.7,0.05,237
2020-04-01,1503,31235,1234422,39.7,39.7,39.5,39.6,-0.1,169
2020-04-06,1503,57178,2263671,39.5,39.95,39.15,39.9,0.3,262
2020-04-07,1503,120625,4814046,39.9,40.15,39.5,40.05,0.15,167
2020-04-08,1503,124469,5031457,40.0,40.85,40.0,40.75,0.7,199
2020-04-09,1503,92334,3749976,40.5,40.9,40.4,40.55,-0.2,226
2020-04-10,1503,152359,6162374,40.4,40.8,40.25,40.65,0.1,309
2020-04-13,1503,160752,6523615,40.5,40.8,40.45,40.75,0.1,618
2020-04-14,1503,148609,6117893,40.75,41.5,40.75,41.45,0.7,410
2020-04-15,1503,223504,9405718,41.6,42.45,41.6,42.4,0.95,392
2020-04-16,1503,194599,8219990,41.9,42.8,41.8,42.8,0.4,450
2020-04-17,1503,275258,11750428,42.65,43.0,42.35,42.6,-0.2,240
2020-04-20,1503,108022,4601975,42.8,42.8,42.4,42.55,-0.05,95
2020-04-21,1503,205519,8492729,42.2,42.2,40.8,41.0,-1.55,192
2020-04-22,1503,33254,1360625,41.0,41.1,40.65,40.85,-0.15,37
2020-04-23,1503,55451,2272684,40.85,41.3,40.85,41.1,0.25,56
2020-04-24,1503,58559,2391773,41.0,41.0,40.7,40.8,-0.3,54
2020-04-27,1503,118580,4916560,41.25,41.85,41.1,41.75,0.95,82
2020-04-28,1503,64274,2663393,41.75,41.75,41.3,41.4,-0.35,44
2020-04-29,1503,147168,6188319,41.75,42.3,41.7,41.85,0.45,119
2020-04-30,1503,201613,8530016,41.85,42.55,41.85,42.3,0.45,153
2020-05-04,1503,115715,4810843,41.5,41.8,41.45,41.6,-0.7,110
2020-05-05,1503,117464,4920113,41.65,42.05,41.65,42.0,0.4,81
2020-05-06,1503,159798,6754890,42.15,43.0,41.75,42.9,0.9,116
2020-05-07,1503,252982,10942071,42.3,43.7,42.3,43.1,0.2,208
2020-05-08,1503,115060,4985434,43.45,43.65,42.9,43.55,0.45,86
2020-05-11,1503,170828,7524198,43.65,44.25,43.6,43.8,0.25,126
2020-05-12,1503,249457,10736702,43.7,43.8,42.55,42.75,-1.05,168
2020-05-13,1503,101295,4351116,42.8,43.2,42.75,43.15,0.4,57
2020-05-14,1503,113695,4870438,43.0,43.0,42.7,42.7,-0.45,68
2020-05-15,1503,142705,6131745,42.85,43.3,42.85,43.3,0.6,87
2020-05-18,1503,255114,11245642,44.15,44.3,43.7,44.2,0.9,145
2020-05-19,1503,273863,12262787,44.35,45.15,44.25,45.15,0.95,175
2020-05-20,1503,209681,9469238,45.15,45.3,44.75,44.85,-0.3,133
2020-05-21,1503,220351,9951045,45.05,45.3,45.0,45.3,0.45,123
2020-05-22,1503,166223,7432621,44.95,45.1,44.15,44.15,-1.15,112
2020-05-25,1503,90714,4015397,44.4,44.8,43.8,44.35,0.2,64
2020-05-26,1503,240564,10891060,44.8,45.45,44.7,45.45,1.1,131
2020-05-27,1503,163039,7435119,45.45,45.9,45.2,45.75,0.3,131
2020-05-28,1503,151100,6845968,45.85,45.85,44.55,45.4,-0.35,117
2020-05-29,1503,83783,3800151,45.1,45.6,45.1,45.6,0.2,51
2020-06-01,1503,131865,6034228,45.8,45.9,45.5,45.75,0.15,96
2020-06-02,1503,80713,3692909,45.8,45.85,45.55,45.85,0.1,72
2020-06-03,1503,226089,10396727,45.85,46.1,45.8,46.1,0.25,158
2020-06-04,1503,78336,3607656,46.1,46.2,45.9,46.2,0.1,63
2020-06-05,1503,93919,4332582,46.2,46.3,45.95,46.15,-0.05,69
2020-06-08,1503,55005,2517623,46.15,46.15,45.25,45.6,-0.55,58
2020-06-09,1503,17750,812132,45.85,45.85,45.65,45.65,0.05,27
2020-06-10,1503,144320,6667970,45.65,46.35,45.6,46.15,0.5,112
2020-06-11,1503,120022,5469732,46.15,46.15,44.9,44.95,-1.2,93
2020-06-12,1503,72155,3221216,44.9,44.95,44.15,44.95,0.0,57
2020-06-15,1503,84991,3850789,45.3,45.55,44.95,45.45,0.5,72
2020-06-16,1503,191433,8786027,45.45,46.0,45.45,45.95,0.5,131
2020-06-17,1503,156581,7211343,45.9,46.2,45.85,46.15,0.2,136
2020-06-18,1503,107360,4948034,46.3,46.4,45.85,46.05,-0.1,78
2020-06-19,1503,183726,8467607,46.05,46.25,45.85,46.25,0.2,104
2020-06-22,1503,92239,4255819,46.3,46.4,45.85,46.0,-0.25,68
2020-06-23,1503,60533,2762921,46.15,46.15,45.5,45.55,-0.45,53
2020-06-24,1503,72626,3317737,46.0,46.0,45.4,45.7,0.15,45
2020-06-29,1503,89710,4045950,45.05,45.25,44.5,45.2,-0.5,61
2020-06-30,1503,23444,1070806,45.4,45.9,45.4,45.6,0.4,25
2020-07-01,1503,23551,1070306,45.8,45.8,45.35,45.4,-0.2,32
2020-07-02,1503,32671,1493327,45.6,45.9,45.6,45.65,0.25,31
2020-07-03,1503,84851,3861725,45.7,45.75,45.35,45.45,-0.2,51
2020-07-06,1503,378253,17442388,45.55,46.55,45.5,46.3,0.85,221
2020-07-07,1503,114776,5278268,46.8,46.8,45.75,45.85,-0.45,96
2020-07-08,1503,229441,10580636,45.8,46.5,45.8,46.2,0.35,149
2020-07-09,1503,192398,8913932,46.6,46.7,46.2,46.35,0.15,135
2020-07-10,1503,92932,4265694,46.5,46.5,45.8,45.85,-0.5,77
2020-07-13,1503,958961,45066003,46.05,47.75,46.05,47.3,1.45,488
2020-07-14,1503,289170,13531662,47.2,47.25,46.6,46.7,-0.6,162
2020-07-15,1503,860281,41681461,47.4,50.4,46.9,49.9,3.2,554
2020-07-16,1503,2659549,141354792,54.0,54.5,51.0,52.3,2.4,1653
2020-07-17,1503,1009237,50571120,51.5,51.9,49.0,49.25,-3.05,738
2020-07-20,1503,597564,29990864,50.0,51.0,49.25,50.7,1.45,387
2020-07-21,1503,519811,26410050,51.2,51.2,50.2,50.2,-0.5,332
2020-07-22,1503,353621,17753239,50.4,50.8,49.8,49.9,-0.3,226
2020-07-23,1503,323701,16004106,50.0,50.3,49.0,49.4,-0.5,226
2020-07-24,1503,406112,19791605,49.3,49.3,48.3,48.5,-0.9,306
2020-07-27,1503,436708,20277754,47.05,47.05,45.8,46.25,0.0,306
2020-07-28,1503,455320,20581625,46.25,46.25,44.5,45.1,-1.15,234
2020-07-29,1503,238825,10870167,44.9,45.85,44.9,45.5,0.4,164
2020-07-30,1503,177530,8132636,45.95,46.15,45.6,45.75,0.25,128
2020-07-31,1503,90503,4125335,45.95,45.95,45.45,45.55,-0.2,82
2020-08-03,1503,265981,12029941,45.5,45.5,45.1,45.1,-0.45,169
2020-08-04,1503,93297,4249111,45.15,45.75,45.15,45.5,0.4,86
2020-08-05,1503,144093,6585064,45.5,45.9,45.5,45.9,0.4,112
2020-08-06,1503,183843,8439739,45.95,46.05,45.7,45.85,-0.05,115
2020-08-07,1503,145194,6618455,45.85,45.9,45.4,45.4,-0.45,110
2020-08-10,1503,240826,11118095,45.65,46.8,45.6,46.55,1.15,186
2020-08-11,1503,210203,9781913,47.15,47.15,46.2,46.35,-0.2,137
2020-08-12,1503,111237,5147647,46.55,46.55,46.2,46.2,-0.15,75
2020-08-13,1503,125899,5859220,46.4,46.75,46.4,46.45,0.25,87
2020-08-14,1503,275777,12931188,46.3,47.2,46.3,47.15,0.7,195
2020-08-17,1503,807971,39129171,47.0,49.5,47.0,49.45,2.3,518
2020-08-18,1503,455600,22518324,49.9,49.95,48.75,49.65,0.2,359
2020-08-19,1503,402086,19937800,49.7,50.0,48.65,49.7,0.05,277
2020-08-20,1503,492512,23592118,49.7,49.7,46.05,47.4,-2.3,343
2020-08-21,1503,286718,13796783,48.15,48.7,47.7,48.15,0.75,219
2020-08-24,1503,180485,8739891,48.5,48.7,48.0,48.55,0.4,129
2020-08-25,1503,134106,6571069,48.5,49.45,48.5,48.8,0.25,116
2020-08-26,1503,65234,3183656,49.35,49.35,48.5,48.75,-0.05,64
2020-08-27,1503,103645,5017010,48.75,48.75,48.2,48.2,-0.55,88
2020-08-28,1503,85957,4143335,48.0,48.4,48.0,48.1,-0.1,65
2020-08-31,1503,148162,7241353,48.7,49.25,48.4,49.05,0.95,121
2020-09-01,1503,186376,9161140,49.4,49.4,48.85,49.15,0.1,168
2020-09-02,1503,289465,14229431,48.95,49.45,48.9,48.9,-0.25,214
2020-09-03,1503,307500,15099650,48.85,49.35,48.85,49.1,0.2,204
2020-09-04,1503,249546,12132483,48.7,48.85,48.4,48.65,-0.45,197
2020-09-07,1503,434946,21444604,48.6,49.5,48.6,49.3,0.65,298
2020-09-08,1503,182686,9012847,49.45,49.5,49.0,49.4,0.1,156
2020-09-09,1503,179225,8823307,49.05,49.4,48.9,49.25,-0.15,159
2020-09-10,1503,331351,16383315,49.75,49.75,49.3,49.45,0.2,226
2020-09-11,1503,1001208,50501022,49.6,51.2,49.45,50.2,0.75,678
2020-09-14,1503,388641,19418916,50.5,50.8,49.45,49.95,-0.25,301
2020-09-15,1503,347994,17441598,50.3,50.4,49.75,50.1,0.15,243
2020-09-16,1503,611566,30813762,50.1,50.8,49.9,50.6,0.5,437
2020-09-17,1503,2333109,121482125,50.9,53.0,50.9,51.9,1.3,1347
2020-09-18,1503,1063698,56135848,53.3,53.9,52.0,52.0,0.1,713
2020-09-21,1503,638457,33062607,52.1,52.6,50.9,51.1,-0.9,462
2020-09-22,1503,439559,21908858,51.0,51.0,49.5,49.5,-1.6,310
2020-09-23,1503,420521,20490132,50.2,50.2,48.3,48.45,-1.05,297
2020-09-24,1503,597399,28452889,47.95,48.15,47.35,47.35,-1.1,309
2020-09-25,1503,401963,18943961,47.5,47.9,46.75,46.85,-0.5,229
2020-09-28,1503,112923,5384917,46.8,48.0,46.8,47.8,0.95,104
2020-09-29,1503,193066,9150171,47.9,47.9,47.0,47.4,-0.4,131
2020-09-30,1503,111875,5309911,47.45,47.7,47.2,47.5,0.1,89
2020-10-05,1503,157617,7489055,47.6,47.75,47.15,47.7,0.2,118
2020-10-06,1503,170656,8244746,47.8,48.9,47.7,48.9,1.2,143
2020-10-07,1503,276500,13363749,48.85,48.85,48.05,48.55,-0.35,193
2020-10-08,1503,195921,9476292,48.65,48.7,48.15,48.7,0.15,131
2020-10-12,1503,275035,13447405,48.6,49.7,48.4,49.05,0.35,234
2020-10-13,1503,216591,10520058,49.05,49.05,48.35,48.6,-0.45,155
2020-10-14,1503,200662,9845138,48.85,49.25,48.7,49.2,0.6,182
2020-10-15,1503,321754,15830146,49.3,49.9,48.9,49.0,-0.2,211
2020-10-16,1503,171486,8388814,49.1,49.2,48.6,48.9,-0.1,136
2020-10-19,1503,350565,17360169,49.15,49.9,49.1,49.85,0.95,265
2020-10-20,1503,144023,7160293,49.7,49.95,49.45,49.95,0.1,101
2020-10-21,1503,188228,9405899,49.95,50.1,49.8,50.1,0.15,166
2020-10-22,1503,143902,7209050,50.1,50.5,49.65,50.2,0.1,124
2020-10-23,1503,75204,3772700,49.9,50.4,49.9,50.3,0.1,81
2020-10-26,1503,139975,7013226,50.4,50.4,50.0,50.0,-0.3,115
2020-10-27,1503,125488,6277013,50.0,50.2,49.7,50.1,0.1,106
2020-10-28,1503,122962,6179042,50.1,50.5,50.0,50.3,0.2,107
2020-10-29,1503,71108,3546098,49.55,50.1,49.5,50.1,-0.2,68
2020-10-30,1503,154218,7655107,49.8,50.1,49.3,49.3,-0.8,128
2020-11-02,1503,141233,7013626,49.3,50.2,49.1,49.8,0.5,126
