date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,SMA5,SMA10,SMA20,K,D,RSI_7,RSI_14,BB_Upper,BB_Middle,BB_Lower,MACD,MACD_Signal,MACD_Hist
2020-01-02,2308,2721085,411325335,152.5,152.5,150.5,151.0,-0.5,1764,,,,,,,,,,,,,
2020-01-03,2308,6932546,1046466705,152.0,152.5,149.0,151.5,0.5,3386,,,,,,,,,,,,,
2020-01-06,2308,6311505,937685245,150.0,151.0,147.5,149.0,-2.5,3433,,,,,,,,,,,,,
2020-01-07,2308,8304026,1234257854,148.0,151.0,146.5,149.0,0.0,4587,,,,,,,,,,,,,
2020-01-08,2308,5376586,796295513,148.5,149.0,147.0,148.0,-1.0,2629,149.7,,,,,,,,,,,,
2020-01-09,2308,10675849,1617107910,149.0,152.5,149.0,152.0,4.0,4964,149.9,,,,,,,,,,,,
2020-01-10,2308,6079101,920184751,152.5,154.5,149.5,151.0,-1.0,2926,149.8,,,,,,,,,,,,
2020-01-13,2308,5115905,767133695,152.5,152.5,148.5,149.5,-1.5,2963,149.9,,,,,42.85714285714286,,,,,,,
2020-01-14,2308,4665147,701581111,150.5,151.5,149.5,151.0,1.5,2400,150.3,,,,,51.02040816326531,,,,,,,
2020-01-15,2308,9133097,1358769389,151.0,151.0,147.5,148.5,-2.5,3027,150.4,150.05,,,,39.92901508429459,,,,,,,
2020-01-16,2308,6949114,1042829600,148.5,151.0,148.0,151.0,2.5,3646,150.2,150.05,,,,52.08210451810782,,,,,,,
2020-01-17,2308,6215796,941376467,151.5,152.0,149.5,152.0,1.0,2833,150.4,150.1,,,,56.21586662834148,,,,,,,
2020-01-20,2308,9947821,1516494189,152.0,154.0,151.0,152.5,0.5,5624,151.0,150.45,,66.11111111111111,53.98148148148149,58.31363974560351,,,,,,,
2020-01-30,2308,14343231,2088740622,151.0,151.0,142.0,143.0,-9.5,6747,149.4,149.85,,50.02777777777778,55.379629629629626,28.279544349097957,,,,,,,
2020-01-31,2308,7267146,1047337024,144.5,147.0,142.0,143.0,0.0,3625,148.3,149.35,,29.777777777777782,48.638888888888886,28.279544349097957,35.714285714285715,,,,,,
2020-02-03,2308,5632380,784522258,139.0,141.0,137.5,140.5,-2.5,3439,146.2,148.2,,11.393939393939393,30.399831649831643,23.87502755289244,32.581453634085214,,,,,,
2020-02-04,2308,4574291,648984253,140.5,143.0,140.0,142.5,2.0,2592,144.3,147.35,,18.828282828282827,19.999999999999996,33.53654909063864,37.3185158630579,,,,,,
2020-02-05,2308,6903967,995885680,141.5,146.0,141.5,145.5,3.0,3660,142.9,146.95,,32.323232323232325,20.848484848484844,45.615553491515335,43.70782203841059,,,,,,
2020-02-06,2308,3104143,454967521,146.0,147.5,145.0,147.0,1.5,1749,143.7,146.55,,45.454545454545446,32.2020202020202,50.82844828558354,46.636767251381734,,,,,,
2020-02-07,2308,4951145,713483525,145.0,146.0,143.0,143.5,-3.5,3110,143.8,146.05,148.05,47.47474747474747,41.750841750841744,40.31021235291223,41.244288078570165,155.38416661932314,148.05,140.71583338067688,,,
2020-02-10,2308,5037828,716412309,142.0,143.0,141.5,143.0,-0.5,3175,144.3,145.25,147.65,42.424242424242415,45.1178451178451,38.96629093584313,40.52342492926671,155.16731334986076,147.65,140.13268665013925,,,
2020-02-11,2308,6482141,923621730,143.0,144.0,141.5,142.5,-0.5,3511,144.3,144.3,147.2,35.57800224466891,41.82566404788626,37.507400929011006,39.774770532620124,154.8183987818969,147.2,139.5816012181031,,,
2020-02-12,2308,6651708,955710452,142.5,145.0,142.0,144.0,1.5,3609,144.0,143.45,146.95,45.12345679012346,41.04190048634493,44.74763190916428,43.16697444415256,154.6435037531675,146.95,139.25649624683248,,,
2020-02-13,2308,4462817,647644362,144.0,146.0,143.5,145.5,1.5,2616,143.7,143.7,146.775,60.67901234567902,47.126823793490466,51.326660424503544,46.41720052206251,154.4331655766895,146.775,139.1168344233105,,,
2020-02-14,2308,5708755,830490092,144.0,147.0,144.0,146.5,1.0,2943,144.3,144.05,146.7,77.22222222222223,61.0082304526749,55.452303519499615,48.5304771982283,154.33806258157205,146.7,139.06193741842793,,,
2020-02-17,2308,3363519,486099755,145.0,145.5,144.0,144.5,-2.0,1756,144.6,144.45,146.325,72.22222222222223,70.04115226337449,46.29598972153378,44.73075482677818,153.61386136512434,146.325,139.03613863487564,,,
2020-02-18,2308,5212272,743081036,143.5,144.0,142.0,142.0,-2.5,2761,144.5,144.4,145.875,48.33333333333334,65.92592592592594,37.31138042617598,40.46574939959523,153.06440192227421,145.875,138.68559807772579,,,
2020-02-19,2308,3082938,443300276,144.5,145.0,142.5,143.5,1.5,2093,144.4,144.2,145.575,31.56565656565657,50.70707070707072,44.80898062969527,43.92077521339342,152.63385968128094,145.575,138.51614031871904,,,
2020-02-20,2308,4093280,588254320,144.0,145.0,142.5,144.0,0.5,2306,144.1,143.9,145.225,30.050505050505055,36.64983164983166,47.261901692424274,45.065220976882195,151.85429106315257,145.225,138.59570893684742,,,
2020-02-21,2308,3768904,542544339,144.5,145.0,142.5,144.5,0.5,1791,143.7,144.0,145.025,45.45454545454546,35.6902356902357,49.861653870474505,46.246585578594704,151.4862305329556,145.025,138.5637694670444,,,
2020-02-24,2308,4298383,609373069,142.0,143.0,141.0,141.5,-3.0,2403,143.1,143.85,144.55,36.11111111111111,37.20538720538721,37.06996908010816,40.60442011778604,150.56581249707702,144.55,138.534187502923,,,
