date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2020-01-02,1513,8776654,220992434,25.0,25.55,24.8,25.55,1.25,3857
2020-01-03,1513,6486604,164978995,25.25,25.85,25.05,25.6,0.05,2714
2020-01-06,1513,2568721,65017745,25.4,25.5,25.2,25.2,-0.4,1196
2020-01-07,1513,4051241,102564425,25.25,25.5,25.05,25.45,0.25,1505
2020-01-08,1513,3728817,93577125,25.2,25.35,24.7,25.15,-0.3,1419
2020-01-09,1513,7479115,194922377,25.25,26.5,25.25,26.45,1.3,3243
2020-01-10,1513,4959880,129537419,26.65,26.65,25.9,26.0,-0.45,2266
2020-01-13,1513,3234414,83720865,26.25,26.3,25.55,25.95,-0.05,1265
2020-01-14,1513,1939465,50747029,26.15,26.4,25.95,26.05,0.1,840
2020-01-15,1513,1345204,35140154,26.1,26.25,26.05,26.1,0.05,598
2020-01-16,1513,16515694,460412186,26.25,28.7,26.05,27.85,1.75,6156
2020-01-17,1513,9368873,257422871,27.95,28.3,26.7,27.15,-0.7,3903
2020-01-20,1513,3719775,102539764,27.2,27.8,26.9,27.75,0.6,1808
2020-01-30,1513,7588569,201282127,26.35,27.2,26.1,26.45,-1.3,2793
2020-01-31,1513,6290942,171577834,26.9,27.95,26.7,27.05,0.6,2648
2020-02-03,1513,4998955,132569278,26.35,27.0,25.9,26.9,-0.15,2117
2020-02-04,1513,5197003,142350077,27.1,27.85,26.75,27.6,0.7,2135
2020-02-05,1513,4956572,138201148,27.7,28.3,27.3,27.8,0.2,2300
2020-02-06,1513,9644481,277007028,28.0,29.25,28.0,28.7,0.9,4449
2020-02-07,1513,4170680,119284400,28.6,29.0,28.25,28.4,-0.3,1961
2020-02-10,1513,3188448,89300901,28.15,28.25,27.75,28.2,-0.2,1466
2020-02-11,1513,3165329,89170112,28.25,28.5,27.9,28.05,-0.15,1727
2020-02-12,1513,2261501,63393761,28.2,28.3,27.9,28.05,0.0,1047
2020-02-13,1513,3382593,93916756,27.95,28.05,27.5,27.55,-0.5,1468
