標的,交易策略,最終資金 (元),總報酬率,最大回撤 (MDD),夏普比率,總交易次數,勝率,賺賠比
2330,SMA,2864727.49,186.47,26.04,1.02,48,45.83,3.44
2382,SMA,2193343.04,119.33,29.01,0.56,51,37.25,2.42
2313,SMA,2021340.18,102.13,44.63,0.47,51,33.33,3.48
2317,SMA,1980268.42,98.03,34.94,0.56,43,30.23,4.02
6257,SMA,1205120.69,20.51,38.97,0.18,57,43.86,1.5
