標的,交易策略,最終資金 (元),總報酬率,最大回撤 (MDD),夏普比率,總交易次數,勝率,賺賠比
1519,布林通道,2132708.1,113.27,43.84,0.51,49,59.18,0.92
1503,布林通道,1520999.43,52.1,47.33,0.35,40,57.5,1.01
1514,布林通道,1307832.69,30.78,57.52,0.24,51,58.82,0.78
1513,布林通道,907166.52,-9.28,48.98,-0.04,40,57.5,0.7
