標的,交易策略,最終資金 (元),總報酬率,最大回撤 (MDD),夏普比率,總交易次數,勝率,賺賠比
2313,MACD Histogram,2953473.55,195.35,41.76,0.71,59,38.98,3.39
2330,MACD Histogram,2306468.71,130.65,27.71,0.85,62,43.55,2.56
2382,MACD Histogram,2151714.18,115.17,35.15,0.58,53,41.51,2.21
6257,MACD Histogram,1560393.03,56.04,34.55,0.38,59,37.29,2.31
2317,MACD Histogram,1350779.68,35.08,35.35,0.27,62,30.65,2.81
