標的,交易策略,最終資金 (元),總報酬率,最大回撤 (MDD),夏普比率,總交易次數,勝率,賺賠比
6257,KD 超買／超賣,3042943.69,204.29,16.1,1.65,13,84.62,2.34
2313,KD 超買／超賣,2668688.45,166.87,27.22,1.0,17,70.59,0.97
2382,KD 超買／超賣,2131065.68,113.11,32.15,0.99,21,71.43,0.79
2330,KD 超買／超賣,1100372.85,10.04,23.51,0.19,12,66.67,0.68
2317,KD 超買／超賣,832148.57,-16.79,41.67,-0.23,20,60.0,0.53
