標的,交易策略,最終資金 (元),總報酬率,最大回撤 (MDD),夏普比率,總交易次數,勝率,賺賠比
6257,RSI 黃金交叉／死亡交叉,1142950.3,14.3,43.83,0.14,153,34.64,2.0
2330,RSI 黃金交叉／死亡交叉,1081506.65,8.15,57.48,0.08,149,34.23,1.99
2382,RSI 黃金交叉／死亡交叉,941875.69,-5.81,42.37,-0.0,158,31.65,2.1
2317,RSI 黃金交叉／死亡交叉,808029.49,-19.2,62.43,-0.19,161,24.22,2.74
2313,RSI 黃金交叉／死亡交叉,697197.44,-30.28,60.7,-0.14,154,27.27,2.24
