標的,交易策略,最終資金 (元),總報酬率,最大回撤 (MDD),夏普比率,總交易次數,勝率,賺賠比
6257,RSI 超買／超賣,2067426.9,106.74,24.21,0.71,23,73.91,0.91
2382,RSI 超買／超賣,1801265.03,80.13,25.9,0.51,25,68.0,0.9
2313,RSI 超買／超賣,1628866.57,62.89,42.32,0.38,29,62.07,0.9
2317,RSI 超買／超賣,1312067.33,31.21,34.58,0.25,28,64.29,0.8
2330,RSI 超買／超賣,948512.13,-5.15,34.24,-0.08,25,64.0,0.52
